*******************************************************************************
Ephemeris / WWW_USER Fri Jan  3 08:28:52 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-824282) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Oct-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Nov-01 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250102.p250331
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-02. PREDICTS-> 2025-MAR-30
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460584.500000000, A.D. 2024-Oct-01 00:00:00.0000,  3.459563173397588E-01,  2.646580778408968E+04,  1.718412667242070E+01,  2.046065195209266E+02,  2.412185251379309E+02,  2.460584408426836E+06,  4.443998653642685E-03,  3.516056787016213E+01,  6.809384328859701E+01,  4.046489322615777E+04,  5.446397866822587E+04,  8.100812535235871E+04,
2460584.503472222, A.D. 2024-Oct-01 00:05:00.0000,  3.459558026321181E-01,  2.646584272629323E+04,  1.718416179437471E+01,  2.046064199418987E+02,  2.412187672972275E+02,  2.460584408426884E+06,  4.443995098570751E-03,  3.649371996383676E+01,  7.013051148625264E+01,  4.046491480667768E+04,  5.446398688706214E+04,  8.100819015659600E+04,
2460584.506944444, A.D. 2024-Oct-01 00:10:00.0000,  3.459552526850733E-01,  2.646587852637831E+04,  1.718419659178659E+01,  2.046063276926431E+02,  2.412189989197206E+02,  2.460584408426921E+06,  4.443991686591707E-03,  3.782687528973665E+01,  7.212588303166379E+01,  4.046493551860117E+04,  5.446399251082404E+04,  8.100825235253757E+04,
2460584.510416667, A.D. 2024-Oct-01 00:15:00.0000,  3.459546685485861E-01,  2.646591510337594E+04,  1.718423092113791E+01,  2.046062423941839E+02,  2.412192198985926E+02,  2.460584408426946E+06,  4.443988427397755E-03,  3.916003428580209E+01,  7.408072914646533E+01,  4.046495530308969E+04,  5.446399550280343E+04,  8.100831176349474E+04,
2460584.513888889, A.D. 2024-Oct-01 00:20:00.0000,  3.459540515572277E-01,  2.646595237589212E+04,  1.718426465634017E+01,  2.046061636507129E+02,  2.412194301868354E+02,  2.460584408426960E+06,  4.443985327887312E-03,  4.049319734656491E+01,  7.599586897355354E+01,  4.046497411826386E+04,  5.446399586063560E+04,  8.100836826370563E+04,
2460584.517361111, A.D. 2024-Oct-01 00:25:00.0000,  3.459534032800628E-01,  2.646599026286544E+04,  1.718429768788014E+01,  2.046060910562115E+02,  2.412196297927092E+02,  2.460584408426961E+06,  4.443982392484983E-03,  4.182636482178309E+01,  7.787216004602445E+01,  4.046499193726129E+04,  5.446399361165713E+04,  8.100842177250290E+04,
2460584.520833333, A.D. 2024-Oct-01 00:30:00.0000,  3.459527254735130E-01,  2.646602868423590E+04,  1.718432992184297E+01,  2.046060242001791E+02,  2.412198187748750E+02,  2.460584408426950E+06,  4.443979623453552E-03,  4.315953701617466E+01,  7.971048969849947E+01,  4.046500874634269E+04,  5.446398880844948E+04,  8.100847224862679E+04,
2460584.524305556, A.D. 2024-Oct-01 00:35:00.0000,  3.459520200378830E-01,  2.646606756152237E+04,  1.718436127885607E+01,  2.046059626725158E+02,  2.412199972373577E+02,  2.460584408426926E+06,  4.443977021191630E-03,  4.449271419005353E+01,  8.151176738244145E+01,  4.046502454308521E+04,  5.446398152464805E+04,  8.100851968479977E+04,
