*******************************************************************************
Ephemeris / WWW_USER Fri Jan  3 07:37:49 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-827386) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Nov-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Nov-12 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250102.p250331
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-02. PREDICTS-> 2025-MAR-30
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460615.500000000, A.D. 2024-Nov-01 00:00:00.0000,  1.399381546005599E-03,  7.128606128523000E+03,  9.816496863455939E+01,  2.621405032203400E+02,  6.079199432263662E+01,  2.460615468727215E+06,  5.997528679989220E-02,  1.620513450285040E+02,  1.621006793655579E+02,  7.138595747676693E+03,  7.148585366830385E+03,  6.002472338333980E+03,
2460615.503472222, A.D. 2024-Nov-01 00:05:00.0000,  2.197447281353660E-03,  7.117512990357774E+03,  9.816814378670682E+01,  2.621446427496727E+02,  6.613161393572685E+01,  2.460615469801096E+06,  6.004350419856527E-02,  1.746776786730217E+02,  1.747009723735738E+02,  7.133187794484149E+03,  7.148862598610523E+03,  5.995652732216821E+03,
2460615.506944444, A.D. 2024-Nov-01 00:10:00.0000,  2.734591363871973E-03,  7.110088152539684E+03,  9.817026209224811E+01,  2.621505136147086E+02,  7.997851476322512E+01,  2.460615472508785E+06,  6.008902702496661E-02,  1.787793355834966E+02,  1.787859883764390E+02,  7.129584653160209E+03,  7.149081153780734E+03,  5.991110487617353E+03,
2460615.510416667, A.D. 2024-Nov-01 00:15:00.0000,  2.798283605779261E-03,  7.109191643505173E+03,  9.817052090749145E+01,  2.621571620746972E+02,  9.573202120050173E+01,  2.460615544898050E+06,  6.009463618341679E-02,  1.809665663622548E+02,  1.809611760198019E+02,  7.129141001894061E+03,  7.149090360282949E+03,  5.990551284830684E+03,
2460615.513888889, A.D. 2024-Nov-01 00:20:00.0000,  2.365471527826032E-03,  7.115152726295038E+03,  9.816882177408039E+01,  2.621633407661879E+02,  1.103852025969725E+02,  2.460615547756719E+06,  6.005821006424029E-02,  1.842588357425276E+02,  1.842387651703910E+02,  7.132023324404709E+03,  7.148893922514381E+03,  5.994184635455033E+03,
2460615.517361111, A.D. 2024-Nov-01 00:25:00.0000,  1.599583644750945E-03,  7.125732557569426E+03,  9.816580746226813E+01,  2.621679796366274E+02,  1.189559532470559E+02,  2.460615549453888E+06,  5.999352350173348E-02,  1.936490006245785E+02,  1.936058309012173E+02,  7.137149024419036E+03,  7.148565491268647E+03,  6.000647719742582E+03,
2460615.520833333, A.D. 2024-Nov-01 00:30:00.0000,  9.140871275509644E-04,  7.136054607234486E+03,  9.816262015366726E+01,  2.621705906378385E+02,  1.042443405691698E+02,  2.460615546648388E+06,  5.992506626234573E-02,  2.263418903407486E+02,  2.262661688043094E+02,  7.142583550915835E+03,  7.149112494597184E+03,  6.007502743909491E+03,
2460615.524305556, A.D. 2024-Nov-01 00:35:00.0000,  9.931510536801782E-04,  7.139163461481713E+03,  9.816047043519116E+01,  2.621714543180973E+02,  7.036148549177223E+01,  2.460615540112257E+06,  5.987881905809408E-02,  2.782235588874689E+02,  2.781109024457159E+02,  7.146260777903160E+03,  7.153358094324608E+03,  6.012142618422886E+03,
