*******************************************************************************
Ephemeris / WWW_USER Mon Jan  6 07:41:14 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-811783) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Apr-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Oct-01 00:00:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250103.p250401
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-03. PREDICTS-> 2025-MAR-31
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460401.500000000, A.D. 2024-Apr-01 00:00:00.0000,  5.410699600275688E-02,  2.488384286394005E+04,  6.210240290402220E+01,  2.755921185072422E+02,  5.458274431853060E+01,  2.460401503750849E+06,  8.477706196391549E-03,  3.572526016147871E+02,  3.569339467735906E+02,  2.630724908502715E+04,  2.773065530611424E+04,  4.246431660408690E+04,
2460401.520833333, A.D. 2024-Apr-01 00:30:00.0000,  5.407100593552358E-02,  2.488376111399912E+04,  6.210181943023560E+01,  2.755910436652980E+02,  5.455741833058639E+01,  2.460401503719185E+06,  8.478231830242773E-03,  1.253644268092629E+01,  1.397592403676412E+01,  2.630616174167402E+04,  2.772856236934893E+04,  4.246168389921126E+04,
2460401.541666667, A.D. 2024-Apr-01 01:00:00.0000,  5.406568989249064E-02,  2.488341090215844E+04,  6.210152125785756E+01,  2.755896751706267E+02,  5.451756221424046E+01,  2.460401503669835E+06,  8.478482288268693E-03,  2.783423209367740E+01,  3.090886660245650E+01,  2.630564367554269E+04,  2.772787644892694E+04,  4.246042956274337E+04,
2460401.562500000, A.D. 2024-Apr-01 01:30:00.0000,  5.409231527133720E-02,  2.488290765946755E+04,  6.210159699657135E+01,  2.755882488491311E+02,  5.449203448497408E+01,  2.460401503639000E+06,  8.478381521979177E-03,  4.311757586378422E+01,  4.756921684131294E+01,  2.630585210501309E+04,  2.772879655055864E+04,  4.246093420858021E+04,
2460401.583333333, A.D. 2024-Apr-01 02:00:00.0000,  5.413083688051536E-02,  2.488265472869207E+04,  6.210199977028773E+01,  2.755870038846580E+02,  5.449860475721276E+01,  2.460401503648292E+06,  8.477992876425094E-03,  5.836917997194842E+01,  6.383630805903583E+01,  2.630665603541706E+04,  2.773065734214205E+04,  4.246288068972768E+04,
2460401.604166667, A.D. 2024-Apr-01 02:30:00.0000,  5.415645713074950E-02,  2.488300282152445E+04,  6.210258100426953E+01,  2.755860966956794E+02,  5.453246760764669E+01,  2.460401503690427E+06,  8.477470528078930E-03,  7.359416844297020E+01,  7.965198910083441E+01,  2.630773663267919E+04,  2.773247044383393E+04,  4.246549708519944E+04,
2460401.625000000, A.D. 2024-Apr-01 03:00:00.0000,  5.415652659251039E-02,  2.488395264102812E+04,  6.210315584501648E+01,  2.755855627846491E+02,  5.457257192860320E+01,  2.460401503738001E+06,  8.476984221819200E-03,  8.881367488124285E+01,  9.501480339371727E+01,  2.630874276837938E+04,  2.773353289573063E+04,  4.246793323896766E+04,
2460401.645833333, A.D. 2024-Apr-01 03:30:00.0000,  5.413603657109133E-02,  2.488512448348173E+04,  6.210356524761008E+01,  2.755853285397792E+02,  5.459705503826945E+01,  2.460401503763743E+06,  8.476660896374734E-03,  1.040494244868127E+02,  1.099595898397578E+02,  2.630941176072419E+04,  2.773369903796665E+04,  4.246955309418635E+04,
